Datum:  16:26, Mittwoch, Juni 21, 2017
Modellname:mit_boss_viertel
Studienname:Statisch 6(-5-)
Darstellungsart: Statisch knotenspannung Spannung1
Ergebnistyp: von Mises 


Knoten  ,Wert (N/m^2)  ,X (micron)  ,Y (micron)  ,Z (micron)
17  ,7.394e+003  ,-0.00000000  ,3250.00000000  ,-0.00000000
4541  ,7.172e+003  ,-0.00000000  ,3199.21875000  ,-0.00000000
333  ,7.749e+003  ,-0.00000000  ,3148.43750000  ,-0.00000000
4540  ,7.012e+003  ,-0.00000000  ,3097.65625000  ,-0.00000000
317  ,1.025e+004  ,-0.00000000  ,3046.87500000  ,-0.00000000
4539  ,1.908e+004  ,-0.00000000  ,2996.09375000  ,-0.00000000
332  ,3.114e+004  ,-0.00000000  ,2945.31250000  ,-0.00000000
4538  ,4.358e+004  ,-0.00000000  ,2894.53125000  ,-0.00000000
309  ,6.000e+004  ,-0.00000000  ,2843.75000000  ,-0.00000000
4537  ,7.860e+004  ,-0.00000000  ,2792.96875000  ,-0.00000000
331  ,1.006e+005  ,-0.00000000  ,2742.18750000  ,-0.00000000
4536  ,1.290e+005  ,-0.00000000  ,2691.40625000  ,-0.00000000
316  ,1.604e+005  ,-0.00000000  ,2640.62500000  ,-0.00000000
4535  ,2.029e+005  ,-0.00000000  ,2589.84375000  ,-0.00000000
330  ,2.644e+005  ,-0.00000000  ,2539.06250000  ,-0.00000000
4534  ,3.297e+005  ,-0.00000000  ,2488.28125000  ,-0.00000000
305  ,4.329e+005  ,-0.00000000  ,2437.50000000  ,-0.00000000
4533  ,5.434e+005  ,-0.00000000  ,2386.71875000  ,-0.00000000
329  ,6.833e+005  ,-0.00000000  ,2335.93750000  ,-0.00000000
4532  ,8.731e+005  ,-0.00000000  ,2285.15625000  ,-0.00000000
315  ,1.102e+006  ,-0.00000000  ,2234.37500000  ,-0.00000000
4531  ,1.388e+006  ,-0.00000000  ,2183.59375000  ,-0.00000000
328  ,1.732e+006  ,-0.00000000  ,2132.81250000  ,-0.00000000
4530  ,2.170e+006  ,-0.00000000  ,2082.03125000  ,-0.00000000
308  ,2.758e+006  ,-0.00000000  ,2031.24987793  ,-0.00000000
4529  ,3.677e+006  ,-0.00000000  ,1980.46887207  ,-0.00000000
327  ,5.027e+006  ,-0.00000000  ,1929.68750000  ,-0.00000000
4528  ,8.552e+006  ,-0.00000000  ,1878.90625000  ,-0.00000000
314  ,1.154e+007  ,-0.00000000  ,1828.12500000  ,-0.00000000
4527  ,2.190e+007  ,-0.00000000  ,1777.34375000  ,-0.00000000
326  ,6.317e+007  ,-0.00000000  ,1726.56250000  ,-0.00000000
4526  ,2.064e+008  ,-0.00000000  ,1675.78125000  ,-0.00000000
303  ,2.353e+008  ,-0.00000000  ,1625.00000000  ,-0.00000000
4517  ,1.749e+008  ,-0.00000000  ,1574.21875000  ,-0.00000000
321  ,1.445e+008  ,-0.00000000  ,1523.43750000  ,-0.00000000
4516  ,1.071e+008  ,-0.00000000  ,1472.65625000  ,-0.00000000
311  ,6.614e+007  ,-0.00000000  ,1421.87500000  ,-0.00000000
4515  ,4.315e+007  ,-0.00000000  ,1371.09375000  ,-0.00000000
320  ,1.580e+007  ,-0.00000000  ,1320.31250000  ,-0.00000000
4514  ,2.636e+007  ,-0.00000000  ,1269.53125000  ,-0.00000000
307  ,5.089e+007  ,-0.00000000  ,1218.75000000  ,-0.00000000
4511  ,7.114e+007  ,-0.00000000  ,1167.96875000  ,-0.00000000
318  ,1.002e+008  ,-0.00000000  ,1117.18750000  ,-0.00000000
4510  ,1.177e+008  ,-0.00000000  ,1066.40625000  ,-0.00000000
310  ,1.425e+008  ,-0.00000000  ,1015.62493896  ,-0.00000000
4513  ,1.561e+008  ,-0.00000000  ,964.84375000  ,-0.00000000
319  ,1.639e+008  ,-0.00000000  ,914.06250000  ,-0.00000000
4512  ,1.730e+008  ,-0.00000000  ,863.28125000  ,-0.00000000
304  ,1.664e+008  ,-0.00000000  ,812.50000000  ,-0.00000000
4525  ,4.869e+007  ,-0.00000000  ,761.71875000  ,-0.00000000
325  ,8.186e+006  ,-0.00000000  ,710.93750000  ,-0.00000000
4524  ,7.776e+006  ,-0.00000000  ,660.15625000  ,-0.00000000
313  ,4.458e+006  ,-0.00000000  ,609.37500000  ,-0.00000000
4523  ,3.139e+006  ,-0.00000000  ,558.59375000  ,-0.00000000
324  ,2.342e+006  ,-0.00000000  ,507.81246948  ,-0.00000000
4522  ,1.930e+006  ,-0.00000000  ,457.03125000  ,-0.00000000
306  ,1.706e+006  ,-0.00000000  ,406.25000000  ,-0.00000000
4521  ,1.589e+006  ,-0.00000000  ,355.46875000  ,-0.00000000
323  ,1.526e+006  ,-0.00000000  ,304.68750000  ,-0.00000000
4520  ,1.492e+006  ,-0.00000000  ,253.90623474  ,-0.00000000
312  ,1.482e+006  ,-0.00000000  ,203.12500000  ,-0.00000000
4519  ,1.479e+006  ,-0.00000000  ,152.34375000  ,-0.00000000
322  ,1.480e+006  ,-0.00000000  ,101.56250000  ,-0.00000000
4518  ,1.482e+006  ,-0.00000000  ,50.78125000  ,-0.00000000
18  ,1.483e+006  ,-0.00000000  ,-0.00000000  ,-0.00000000
