Datum:  16:22, Mittwoch, Juni 21, 2017
Modellname:mit_boss_viertel
Studienname:Statisch 5(-4-)
Darstellungsart: Statisch knotenspannung Spannung1
Ergebnistyp: von Mises 


Knoten  ,Wert (N/m^2)  ,X (micron)  ,Y (micron)  ,Z (micron)
18  ,9.848e+005  ,0.00000000  ,0.00000000  ,0.00000000
5901  ,9.833e+005  ,50.78125000  ,0.00000000  ,0.00000000
278  ,9.812e+005  ,101.56250000  ,0.00000000  ,0.00000000
5900  ,9.820e+005  ,152.34375000  ,0.00000000  ,0.00000000
262  ,9.829e+005  ,203.12500000  ,0.00000000  ,0.00000000
5899  ,9.879e+005  ,253.90623474  ,0.00000000  ,0.00000000
277  ,1.001e+006  ,304.68750000  ,0.00000000  ,0.00000000
5898  ,1.035e+006  ,355.46875000  ,0.00000000  ,0.00000000
254  ,1.096e+006  ,406.25000000  ,0.00000000  ,0.00000000
5897  ,1.223e+006  ,457.03125000  ,0.00000000  ,0.00000000
276  ,1.475e+006  ,507.81246948  ,0.00000000  ,0.00000000
5896  ,1.934e+006  ,558.59375000  ,0.00000000  ,0.00000000
261  ,2.609e+006  ,609.37500000  ,0.00000000  ,0.00000000
5895  ,4.896e+006  ,660.15625000  ,0.00000000  ,0.00000000
275  ,5.100e+006  ,710.93750000  ,0.00000000  ,0.00000000
5894  ,3.160e+007  ,761.71875000  ,0.00000000  ,0.00000000
250  ,6.062e+007  ,812.50000000  ,0.00000000  ,0.00000000
5871  ,6.590e+007  ,863.28125000  ,0.00000000  ,0.00000000
263  ,6.372e+007  ,914.06250000  ,0.00000000  ,0.00000000
5870  ,5.045e+007  ,964.84375000  ,0.00000000  ,0.00000000
255  ,3.680e+007  ,1015.62493896  ,0.00000000  ,0.00000000
5873  ,1.328e+007  ,1066.40625000  ,0.00000000  ,0.00000000
264  ,2.321e+007  ,1117.18750000  ,0.00000000  ,0.00000000
5872  ,4.635e+007  ,1167.96875000  ,0.00000000  ,0.00000000
253  ,7.827e+007  ,1218.75000000  ,0.00000000  ,0.00000000
5893  ,7.905e+007  ,1269.53125000  ,0.00000000  ,0.00000000
274  ,3.283e+007  ,1320.31250000  ,0.00000000  ,0.00000000
5892  ,1.252e+007  ,1371.09375000  ,0.00000000  ,0.00000000
260  ,6.774e+006  ,1421.87500000  ,0.00000000  ,0.00000000
5891  ,4.422e+006  ,1472.65625000  ,0.00000000  ,0.00000000
273  ,2.817e+006  ,1523.43750000  ,0.00000000  ,0.00000000
5890  ,2.152e+006  ,1574.21875000  ,0.00000000  ,0.00000000
248  ,1.612e+006  ,1625.00000000  ,0.00000000  ,0.00000000
5889  ,1.322e+006  ,1675.78125000  ,0.00000000  ,0.00000000
272  ,1.094e+006  ,1726.56250000  ,0.00000000  ,0.00000000
5888  ,8.915e+005  ,1777.34375000  ,0.00000000  ,0.00000000
259  ,7.442e+005  ,1828.12500000  ,0.00000000  ,0.00000000
5887  ,6.172e+005  ,1878.90625000  ,0.00000000  ,0.00000000
271  ,4.783e+005  ,1929.68750000  ,0.00000000  ,0.00000000
5886  ,3.871e+005  ,1980.46887207  ,0.00000000  ,0.00000000
252  ,3.072e+005  ,2031.24987793  ,0.00000000  ,0.00000000
5885  ,2.552e+005  ,2082.03125000  ,0.00000000  ,0.00000000
270  ,2.140e+005  ,2132.81250000  ,0.00000000  ,0.00000000
5884  ,1.651e+005  ,2183.59375000  ,0.00000000  ,0.00000000
258  ,1.357e+005  ,2234.37500000  ,0.00000000  ,0.00000000
5883  ,1.137e+005  ,2285.15625000  ,0.00000000  ,0.00000000
269  ,9.494e+004  ,2335.93750000  ,0.00000000  ,0.00000000
5882  ,8.038e+004  ,2386.71875000  ,0.00000000  ,0.00000000
249  ,7.064e+004  ,2437.50000000  ,0.00000000  ,0.00000000
5881  ,6.106e+004  ,2488.28125000  ,0.00000000  ,0.00000000
268  ,5.173e+004  ,2539.06250000  ,0.00000000  ,0.00000000
5880  ,4.409e+004  ,2589.84375000  ,0.00000000  ,0.00000000
257  ,3.856e+004  ,2640.62500000  ,0.00000000  ,0.00000000
5879  ,3.237e+004  ,2691.40625000  ,0.00000000  ,0.00000000
267  ,2.733e+004  ,2742.18750000  ,0.00000000  ,0.00000000
5878  ,2.377e+004  ,2792.96875000  ,0.00000000  ,0.00000000
251  ,1.903e+004  ,2843.75000000  ,0.00000000  ,0.00000000
5877  ,1.445e+004  ,2894.53125000  ,0.00000000  ,0.00000000
266  ,1.083e+004  ,2945.31250000  ,0.00000000  ,0.00000000
5876  ,7.512e+003  ,2996.09375000  ,0.00000000  ,0.00000000
256  ,4.560e+003  ,3046.87500000  ,0.00000000  ,0.00000000
5875  ,2.972e+003  ,3097.65625000  ,0.00000000  ,0.00000000
265  ,2.440e+003  ,3148.43750000  ,0.00000000  ,0.00000000
5874  ,2.669e+003  ,3199.21875000  ,0.00000000  ,0.00000000
15  ,3.085e+003  ,3250.00000000  ,0.00000000  ,0.00000000
